257 	1000024 	halu 	2014-06-27 19:33 	C 	4.6.3 	#4 	00.00 sec 	519 byte 	27
377 	1876766 	aiueo0723 	2016-06-23 17:27 	C 	4.6.3 	#4 	00.00 sec 	566 byte 	2
378 	1881728 	madman6 	2016-06-26 14:28 	C 	4.6.3 	#4 	00.00 sec 	320 byte 	3
379 	1901225 	unisra 	2016-07-06 11:29 	C 	4.6.3 	#4 	00.00 sec 	292 byte 	4
380 	1930002 	ei1612 	2016-07-21 12:54 	C 	4.6.3 	#4 	00.00 sec 	298 byte 	5
381 	1935456 	aojiru11 	2016-07-25 18:15 	C 	4.6.3 	#4 	00.00 sec 	467 byte 	5
382 	1968730 	tukimi1015 	2016-08-19 13:22 	C 	4.6.3 	#4 	00.00 sec 	287 byte 	2
383 	1969406 	ume10 	2016-08-19 17:35 	C 	4.6.3 	#4 	00.00 sec 	290 byte 	2
384 	1969447 	konamikan 	2016-08-19 18:02 	C 	4.6.3 	#4 	00.00 sec 	246 byte 	3
385 	1987973 	loto610 	2016-09-07 13:21 	C 	4.6.3 	#4 	00.00 sec 	274 byte 	6
386 	1998378 	akihiro 	2016-09-15 20:30 	C 	4.6.3 	#4 	00.00 sec 	588 byte 	3
387 	2015817 	yukitabito 	2016-09-30 19:56 	C 	4.6.3 	#4 	00.00 sec 	953 byte 	16
388 	2016832 	fujita0119 	2016-10-01 22:14 	C 	4.6.3 	#4 	00.00 sec 	426 byte 	3
389 	2030618 	dk010riri 	2016-10-13 23:12 	C 	4.6.3 	#4 	00.00 sec 	516 byte 	4
390 	2033536 	kenkne1231 	2016-10-16 17:52 	C 	4.6.3 	#4 	00.00 sec 	305 byte 	4
391 	2040371 	Kohtoge 	2016-10-22 08:53 	C 	4.6.3 	#4 	00.00 sec 	394 byte 	2
392 	2040859 	K5Nea8 	2016-10-22 18:20 	C 	4.6.3 	#4 	00.00 sec 	296 byte 	2
393 	2044069 	zenkin 	2016-10-25 15:31 	C 	4.6.3 	#4 	00.00 sec 	492 byte 	4
394 	2053274 	ainao 	2016-10-31 18:47 	C 	4.6.3 	#4 	00.00 sec 	320 byte 	6
395 	2065263 	momentquiz 	2016-11-09 18:51 	C 	4.6.3 	#4 	00.00 sec 	437 byte 	0
396 	2066361 	thinpan 	2016-11-10 16:09 	C 	4.6.3 	#4 	00.00 sec 	379 byte 	4
397 	2076474 	ei1310 	2016-11-16 00:15 	C 	4.6.3 	#4 	00.00 sec 	445 byte 	0
398 	2076836 	ta_kit 	2016-11-16 10:29 	C 	4.6.3 	#4 	00.00 sec 	338 byte 	2
399 	2088024 	daida 	2016-11-22 18:30 	C 	4.6.3 	#4 	00.00 sec 	357 byte 	1
